"","KIDS","SNAP","FINC","NPL","AGE","FERH"
"227",1,"Yes",80000,3,24,"No"
"228",3,"No",127000,5,23.8,"No"
"229",1,"No",635900,3,39.3333333333333,"No"
"230",1,"No",186000,3,38.6666666666667,"No"
"231",1,"No",48600,5,15.2,"No"
"232",2,"No",60000,4,26,"No"
"233",3,"No",5e+05,5,24.6,"No"
"234",1,"Yes",13700,2,33.5,"No"
"235",2,"No",224000,5,44,"No"
"236",2,"No",2e+05,4,25.25,"No"
"237",2,"No",36000,3,21.6666666666667,"No"
"238",3,"No",73000,6,20.5,"No"
"239",2,"Yes",76000,5,27.2,"No"
"240",2,"No",206000,4,25.5,"No"
"241",2,"No",115600,5,36.8,"No"
"242",3,"No",115000,5,23,"No"
"243",2,"No",36000,4,22.25,"No"
"244",2,"No",78250,6,29.5,"Yes"
"245",2,"No",126000,4,25.5,"No"
"246",1,"No",70000,3,42.3333333333333,"No"
"247",2,"No",60000,4,28,"No"
"248",2,"No",56400,5,24.2,"Yes"
"249",1,"No",120000,3,31.6666666666667,"No"
"250",1,"No",45300,3,16.6666666666667,"Yes"
"251",3,"No",155000,5,19.6,"No"
"252",2,"No",160000,4,28.25,"No"
"253",1,"Yes",109600,4,31.25,"No"
"254",3,"Yes",21000,4,14,"No"
"255",1,"No",142000,4,33.75,"No"
"256",2,"No",73500,4,17,"No"
"257",2,"No",91800,3,26,"No"
"258",1,"No",191400,3,32,"No"
"259",1,"No",45460,2,35,"No"
"260",2,"No",30400,3,30.3333333333333,"No"
"261",2,"No",230400,4,19.25,"Yes"
"262",2,"No",202000,4,31.5,"No"
"263",3,"Yes",215800,7,30.7142857142857,"No"
"264",2,"No",122700,4,27.75,"No"
"265",2,"No",80000,4,29.25,"No"
"266",1,"No",175000,3,20.6666666666667,"Yes"
"267",1,"No",73600,2,35,"No"
"268",2,"No",581100,4,31.5,"No"
"269",2,"No",87800,4,23.5,"No"
"270",2,"No",147600,4,33.75,"No"
"271",1,"No",75400,3,47.3333333333333,"No"
"272",2,"No",47000,4,26,"No"
"273",1,"No",183000,5,38,"No"
"274",2,"Yes",29000,3,18,"No"
"275",2,"No",397000,4,26.75,"No"
"276",3,"No",315000,5,19.8,"No"
"277",2,"No",34000,4,17.25,"No"
"278",1,"Yes",15000,3,26.3333333333333,"No"
"279",2,"No",350000,4,18.25,"No"
"280",2,"No",88000,3,16,"No"
"281",1,"No",73000,5,35.6,"No"
"282",3,"No",286100,5,22.8,"No"
"283",1,"No",30000,2,23.5,"No"
"284",1,"No",38800,3,22.6666666666667,"No"
"285",2,"No",136000,4,18.25,"Yes"
"286",1,"No",123000,3,26,"No"
"287",2,"No",110000,4,19.25,"No"
"288",1,"No",232700,4,43,"No"
"289",2,"No",213700,4,26.25,"No"
